socks	style19	27.05583561011275	11.333333333333334
jeans	style23	56.448586998600405	12.200000000000001
jacket	style12	28.957576758005942	19.25
shirt	style1	36.64931317819733	11.4
jacket	style13	54.40945856718389	12.200000000000001
jeans	style24	43.5514130013996	21.0
tshirt	style2	59.94978028876334	12.0
socks	style21	72.94416438988725	12.200000000000001
pant	style11	100.0	26.0
shirt	style4	63.35068682180267	20.333333333333332
tshirt	style17	40.050219711236664	22.666666666666664
jacket	style7	16.632964674810168	26.75
