socks	anklelength	738315.7861618313	42.30879094437896
jeans	skinny	813287.9458979157	42.12670797627379
shirt	collared	2349190.514637826	41.64075603442865
jeans	straight	1486770.945954002	41.20490006801493
jacket	denim	665448.9377215161	41.82771062439931
pant	trousers	1511122.432550043	41.25861214336601
pant	bellbottom	1518446.630843576	41.82481449988495
pant	cargo	819711.4469455888	41.44570880018119
socks	ankle length	701764.9568600982	39.801502088926455
tshirt	collared	1498655.6362355931	41.149609854571985
tshirt	check	1414063.467299768	40.982774200393806
shirt	denim	633052.9706123648	42.29633190051231
jacket	leather	1465617.7411435184	41.661305041015424
shirt	polo	691165.1064616039	41.25805288498026
jeans	baggy	2143348.125107656	41.42810202730275
socks	fulllength	707334.1553059194	41.722679783270856
